"","�..Tipo","Bairro","Quartos","Vagas","Suites","Area","Valor","Condominio","IPTU"
"1","Quitinete","Copacabana",1,0,0,40,1700,500,60
"2","Casa","Jardim Botânico",2,0,1,100,7000,NA,NA
"3","Conjunto Comercial/Sala","Barra da Tijuca",0,4,0,150,5200,4020,1111
"4","Apartamento","Centro",1,0,0,15,800,390,20
"5","Apartamento","Higienópolis",1,0,0,48,800,230,NA
"6","Apartamento","Vista Alegre",3,1,0,70,1200,NA,NA
"7","Apartamento","Cachambi",2,0,0,50,1300,301,17
"8","Casa de Condomínio","Barra da Tijuca",5,4,5,750,22000,NA,NA
"9","Casa de Condomínio","Ramos",2,2,0,65,1000,NA,NA
"10","Conjunto Comercial/Sala","Centro",0,3,0,695,35000,19193,3030
"11","Apartamento","Centro",1,0,0,36,1200,NA,NA
"12","Apartamento","Grajaú",2,1,0,70,1500,642,74
"13","Apartamento","Lins de Vasconcelos",3,1,1,90,1500,455,14
"14","Apartamento","Copacabana",1,0,1,40,2000,561,50
"15","Quitinete","Copacabana",1,0,0,27,1800,501,NA
"16","Apartamento","Copacabana",4,3,1,243,13000,2000,803
"17","Prédio Inteiro","Botafogo",0,0,0,536,28000,NA,3563
"18","Flat","Botafogo",3,1,1,80,3800,1040,NA
"19","Casa de Condomínio","Taquara",3,1,1,115,2000,NA,NA
"20","Apartamento","Freguesia (Jacarepaguá)",3,0,0,54,950,300,28
"21","Apartamento","Barra da Tijuca",2,1,1,67,1700,589,147
"22","Apartamento","Tijuca",2,1,0,110,1900,700,138
"23","Casa de Condomínio","Barra da Tijuca",4,3,2,466,7500,2695,NA
"24","Apartamento","Olaria",3,1,0,68,1000,670,NA
"25","Apartamento","Tijuca",2,1,0,78,2000,700,NA
"26","Flat","Leblon",1,0,0,56,4500,1900,1500
"27","Conjunto Comercial/Sala","São Cristóvão",0,1,0,25,1100,600,NA
"28","Apartamento","Ipanema",3,1,1,125,7000,2100,463
"29","Apartamento","Tijuca",1,0,0,48,750,772,25
"30","Loja/Salão","Campo Grande",0,1,0,35,1300,950,NA
"31","Apartamento","Barra da Tijuca",3,3,1,175,4200,1500,500
"32","Casa","Campo Grande",4,1,2,400,12000,NA,NA
